contract,option_type,strike,expiry,date,open,high,low,market_price,volume,vwap,transactions,underlying_price,T,moneyness,log_moneyness,lower_bound,upper_bound,violates_bounds,IV
O:AAPL260513C00265000,call,265.0,2026-05-13,2026-05-12,29.26,29.84,29.26,29.84,13,29.3046,2,294.79998779296875,0.0027378507871321013,0.8989145555396135,-0.10656729292111843,29.829007422255017,294.79998779296875,False,0.7503139654530832
O:AAPL260513C00272500,call,272.5,2026-05-13,2026-05-11,20.07,20.41,20.07,20.41,6,20.24,2,292.67999267578125,0.0054757015742642025,0.9310510004756771,-0.07144122288786589,20.239671287056808,292.67999267578125,False,0.5438838150195601
O:AAPL260513C00277500,call,277.5,2026-05-13,2026-05-11,14.78,15.6,13.56,15.6,13,14.6908,8,292.67999267578125,0.0054757015742642025,0.9481345050715612,-0.0532589038046754,15.240766307447188,292.67999267578125,False,0.5032665169890198
O:AAPL260513C00282500,call,282.5,2026-05-13,2026-05-12,10.72,12.6,10.6,12.6,109,10.9316,18,294.79998779296875,0.0027378507871321013,0.9582768375092107,-0.04261856832084498,12.330923812868264,294.79998779296875,False,0.5584133230463268
O:AAPL260513C00285000,call,285.0,2026-05-13,2026-05-11,7.2,8.75,6.1,7.96,341,7.4266,74,292.67999267578125,0.0054757015742642025,0.9737597619653872,-0.02659065672251405,7.742408838032759,292.67999267578125,False,0.26334129429750597
O:AAPL260513C00287500,call,287.5,2026-05-13,2026-05-11,6.55,6.7,4.45,5.9,852,5.1266,123,292.67999267578125,0.0054757015742642025,0.9823015142633291,-0.017856976753759475,5.242956348227949,292.67999267578125,False,0.28380663381369664
O:AAPL260513C00287500,call,287.5,2026-05-13,2026-05-12,6.4,7.51,5.7,7.39,308,6.6686,126,294.79998779296875,0.0027378507871321013,0.9752374895005241,-0.025074258669935474,7.331471353043526,294.79998779296875,False,0.26770948251088184
O:AAPL260513C00290000,call,290.0,2026-05-13,2026-05-11,4.12,4.7,2.73,3.7,5225,3.4859,897,292.67999267578125,0.0054757015742642025,0.9908432665612711,-0.009198914010644927,2.7435038584231393,292.67999267578125,False,0.2374218605567807
O:AAPL260513C00290000,call,290.0,2026-05-13,2026-05-12,4.2,5.5,3.71,5.05,2535,4.5174,617,294.79998779296875,0.0027378507871321013,0.9837178154961809,-0.01641619592682089,4.8317451231311,294.79998779296875,False,0.2606049430128532
O:AAPL260513C00292500,call,292.5,2026-05-13,2026-05-11,2.8,3.1,1.6,2.36,16856,2.217,3115,292.67999267578125,0.0054757015742642025,0.9993850188592132,-0.0006151703192533717,0.24405136861832943,292.67999267578125,False,0.2588858883790781
O:AAPL260513C00292500,call,292.5,2026-05-13,2026-05-12,2.56,3.45,2.2,3.1,25939,2.7967,4330,294.79998779296875,0.0027378507871321013,0.9921981414918376,-0.007832452235429414,2.3320188932187307,294.79998779296875,False,0.2746186511715128
O:AAPL260513C00295000,call,295.0,2026-05-13,2026-05-11,1.64,2.2,0.86,1.28,23089,1.3678,4193,292.67999267578125,0.0054757015742642025,1.0079267711571551,0.007895519348655239,0.0,292.67999267578125,False,0.25693577627243663
O:AAPL260513C00295000,call,295.0,2026-05-13,2026-05-12,1.29,1.9,1.15,1.55,102678,1.4959,21378,294.79998779296875,0.0027378507871321013,1.0006784674874942,0.0006782374324791185,0.0,294.79998779296875,False,0.2652077375622987
O:AAPL260513C00297500,call,297.5,2026-05-13,2026-05-11,0.88,1.38,0.46,0.66,10101,0.6885,1924,292.67999267578125,0.0054757015742642025,1.0164685234550972,0.016334387994519944,0.0,292.67999267578125,False,0.2635288248129083
